conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2828,skill/competence,cross-sector,Ember 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2829,skill/competence,cross-sector,Backbone 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2830,skill/competence,cross-sector,jQuery 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2831,skill/competence,cross-sector,Bootstrap 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2832,skill/competence,cross-sector,Tailwind CSS 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2833,skill/competence,cross-sector,Material-UI 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2834,skill/competence,cross-sector,Chakra UI 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2835,skill/competence,cross-sector,Sass 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2836,skill/competence,cross-sector,LESS 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2837,skill/competence,cross-sector,Node.js 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2838,skill/competence,cross-sector,Express 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2839,skill/competence,cross-sector,NestJS 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2840,skill/competence,cross-sector,Django 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2841,skill/competence,cross-sector,Flask 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2842,skill/competence,cross-sector,FastAPI 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2843,skill/competence,cross-sector,Spring Boot 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2844,skill/competence,cross-sector,Ruby on Rails 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2845,skill/competence,cross-sector,Laravel 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2846,skill/competence,cross-sector,Symfony 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2847,skill/competence,cross-sector,CodeIgniter 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2848,skill/competence,cross-sector,ASP.NET 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2849,skill/competence,cross-sector,Entity Framework 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2850,skill/competence,cross-sector,Flutter 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2851,skill/competence,cross-sector,React Native 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2852,skill/competence,cross-sector,Ionic 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2853,skill/competence,cross-sector,Xamarin 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2854,skill/competence,cross-sector,Cordova 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2855,skill/competence,cross-sector,Electron 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2856,skill/competence,cross-sector,Tauri 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2857,skill/competence,cross-sector,Machine Learning 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2858,skill/competence,cross-sector,Deep Learning 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2859,skill/competence,cross-sector,Artificial Intelligence 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2860,skill/competence,cross-sector,Data Science 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2861,skill/competence,cross-sector,Data Analytics 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2862,skill/competence,cross-sector,Data Engineering 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2863,skill/competence,cross-sector,Computer Vision 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2864,skill/competence,cross-sector,Natural Language Processing 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2865,skill/competence,cross-sector,NLP 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2866,skill/competence,cross-sector,Neural Networks 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2867,skill/competence,cross-sector,TensorFlow 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2868,skill/competence,cross-sector,PyTorch 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2869,skill/competence,cross-sector,Keras 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2870,skill/competence,cross-sector,Scikit-Learn 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2871,skill/competence,cross-sector,Pandas 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2872,skill/competence,cross-sector,NumPy 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2873,skill/competence,cross-sector,Matplotlib 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2874,skill/competence,cross-sector,Seaborn 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2875,skill/competence,cross-sector,Plotly 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2876,skill/competence,cross-sector,SciPy 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2877,skill/competence,cross-sector,NLTK 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2878,skill/competence,cross-sector,Spacy 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2879,skill/competence,cross-sector,HuggingFace 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2880,skill/competence,cross-sector,OpenCV 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2881,skill/competence,cross-sector,Apache Spark 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2882,skill/competence,cross-sector,Hadoop 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2883,skill/competence,cross-sector,Kafka 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2884,skill/competence,cross-sector,Airflow 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2885,skill/competence,cross-sector,Tableau 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2886,skill/competence,cross-sector,Power BI 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2887,skill/competence,cross-sector,MySQL 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2888,skill/competence,cross-sector,PostgreSQL 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2889,skill/competence,cross-sector,SQLite 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2890,skill/competence,cross-sector,Oracle 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2891,skill/competence,cross-sector,SQL Server 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2892,skill/competence,cross-sector,MongoDB 2793,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2893,skill/competence,cross-sector,Python 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2894,skill/competence,cross-sector,Java 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2895,skill/competence,cross-sector,JavaScript 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2896,skill/competence,cross-sector,TypeScript 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2897,skill/competence,cross-sector,C 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2898,skill/competence,cross-sector,C++ 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2899,skill/competence,cross-sector,C# 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2900,skill/competence,cross-sector,Ruby 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2901,skill/competence,cross-sector,PHP 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2902,skill/competence,cross-sector,Swift 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2903,skill/competence,cross-sector,Kotlin 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2904,skill/competence,cross-sector,Go 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2905,skill/competence,cross-sector,Rust 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2906,skill/competence,cross-sector,Dart 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2907,skill/competence,cross-sector,Scala 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2908,skill/competence,cross-sector,R 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2909,skill/competence,cross-sector,MATLAB 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2910,skill/competence,cross-sector,Perl 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2911,skill/competence,cross-sector,Lua 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2912,skill/competence,cross-sector,Haskell 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2913,skill/competence,cross-sector,Julia 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2914,skill/competence,cross-sector,Objective-C 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2915,skill/competence,cross-sector,Assembly 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2916,skill/competence,cross-sector,SQL 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2917,skill/competence,cross-sector,NoSQL 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2918,skill/competence,cross-sector,Bash 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2919,skill/competence,cross-sector,Shell 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2920,skill/competence,cross-sector,PowerShell 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2921,skill/competence,cross-sector,React 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2922,skill/competence,cross-sector,Angular 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2923,skill/competence,cross-sector,Vue 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2924,skill/competence,cross-sector,Svelte 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2925,skill/competence,cross-sector,Next.js 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2926,skill/competence,cross-sector,Nuxt.js 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2927,skill/competence,cross-sector,Gatsby 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2928,skill/competence,cross-sector,Ember 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2929,skill/competence,cross-sector,Backbone 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2930,skill/competence,cross-sector,jQuery 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2931,skill/competence,cross-sector,Bootstrap 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2932,skill/competence,cross-sector,Tailwind CSS 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2933,skill/competence,cross-sector,Material-UI 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2934,skill/competence,cross-sector,Chakra UI 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2935,skill/competence,cross-sector,Sass 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2936,skill/competence,cross-sector,LESS 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2937,skill/competence,cross-sector,Node.js 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2938,skill/competence,cross-sector,Express 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2939,skill/competence,cross-sector,NestJS 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2940,skill/competence,cross-sector,Django 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2941,skill/competence,cross-sector,Flask 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2942,skill/competence,cross-sector,FastAPI 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2943,skill/competence,cross-sector,Spring Boot 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2944,skill/competence,cross-sector,Ruby on Rails 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2945,skill/competence,cross-sector,Laravel 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2946,skill/competence,cross-sector,Symfony 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2947,skill/competence,cross-sector,CodeIgniter 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2948,skill/competence,cross-sector,ASP.NET 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2949,skill/competence,cross-sector,Entity Framework 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2950,skill/competence,cross-sector,Flutter 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2951,skill/competence,cross-sector,React Native 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2952,skill/competence,cross-sector,Ionic 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2953,skill/competence,cross-sector,Xamarin 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2954,skill/competence,cross-sector,Cordova 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2955,skill/competence,cross-sector,Electron 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2956,skill/competence,cross-sector,Tauri 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2957,skill/competence,cross-sector,Machine Learning 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2958,skill/competence,cross-sector,Deep Learning 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2959,skill/competence,cross-sector,Artificial Intelligence 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2960,skill/competence,cross-sector,Data Science 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2961,skill/competence,cross-sector,Data Analytics 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2962,skill/competence,cross-sector,Data Engineering 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2963,skill/competence,cross-sector,Computer Vision 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2964,skill/competence,cross-sector,Natural Language Processing 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2965,skill/competence,cross-sector,NLP 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2966,skill/competence,cross-sector,Neural Networks 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2967,skill/competence,cross-sector,TensorFlow 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2968,skill/competence,cross-sector,PyTorch 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2969,skill/competence,cross-sector,Keras 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2970,skill/competence,cross-sector,Scikit-Learn 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2971,skill/competence,cross-sector,Pandas 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2972,skill/competence,cross-sector,NumPy 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2973,skill/competence,cross-sector,Matplotlib 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2974,skill/competence,cross-sector,Seaborn 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2975,skill/competence,cross-sector,Plotly 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2976,skill/competence,cross-sector,SciPy 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2977,skill/competence,cross-sector,NLTK 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2978,skill/competence,cross-sector,Spacy 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2979,skill/competence,cross-sector,HuggingFace 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2980,skill/competence,cross-sector,OpenCV 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2981,skill/competence,cross-sector,Apache Spark 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2982,skill/competence,cross-sector,Hadoop 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2983,skill/competence,cross-sector,Kafka 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2984,skill/competence,cross-sector,Airflow 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2985,skill/competence,cross-sector,Tableau 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2986,skill/competence,cross-sector,Power BI 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2987,skill/competence,cross-sector,MySQL 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2988,skill/competence,cross-sector,PostgreSQL 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2989,skill/competence,cross-sector,SQLite 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2990,skill/competence,cross-sector,Oracle 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2991,skill/competence,cross-sector,SQL Server 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2992,skill/competence,cross-sector,MongoDB 2893,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2993,skill/competence,cross-sector,Python 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2994,skill/competence,cross-sector,Java 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2995,skill/competence,cross-sector,JavaScript 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2996,skill/competence,cross-sector,TypeScript 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2997,skill/competence,cross-sector,C 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2998,skill/competence,cross-sector,C++ 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2999,skill/competence,cross-sector,C# 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3000,skill/competence,cross-sector,Ruby 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3001,skill/competence,cross-sector,PHP 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3002,skill/competence,cross-sector,Swift 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3003,skill/competence,cross-sector,Kotlin 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3004,skill/competence,cross-sector,Go 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3005,skill/competence,cross-sector,Rust 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3006,skill/competence,cross-sector,Dart 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3007,skill/competence,cross-sector,Scala 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3008,skill/competence,cross-sector,R 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3009,skill/competence,cross-sector,MATLAB 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3010,skill/competence,cross-sector,Perl 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3011,skill/competence,cross-sector,Lua 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3012,skill/competence,cross-sector,Haskell 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3013,skill/competence,cross-sector,Julia 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3014,skill/competence,cross-sector,Objective-C 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3015,skill/competence,cross-sector,Assembly 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3016,skill/competence,cross-sector,SQL 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3017,skill/competence,cross-sector,NoSQL 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3018,skill/competence,cross-sector,Bash 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3019,skill/competence,cross-sector,Shell 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3020,skill/competence,cross-sector,PowerShell 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3021,skill/competence,cross-sector,React 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3022,skill/competence,cross-sector,Angular 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3023,skill/competence,cross-sector,Vue 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3024,skill/competence,cross-sector,Svelte 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3025,skill/competence,cross-sector,Next.js 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3026,skill/competence,cross-sector,Nuxt.js 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3027,skill/competence,cross-sector,Gatsby 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3028,skill/competence,cross-sector,Ember 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3029,skill/competence,cross-sector,Backbone 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3030,skill/competence,cross-sector,jQuery 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3031,skill/competence,cross-sector,Bootstrap 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3032,skill/competence,cross-sector,Tailwind CSS 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3033,skill/competence,cross-sector,Material-UI 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3034,skill/competence,cross-sector,Chakra UI 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3035,skill/competence,cross-sector,Sass 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3036,skill/competence,cross-sector,LESS 2993,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3037,skill/competence,cross-sector,Node.js 2993,,Massive generated dataset
